State,Company Type,Company,Name_Part_Affiliation,District,Layer_ID,State_fips,Governor,Gov_party_aff,Senator_1,Senator_1_aff,Senator_1_class,Senator_2,Senator_2_aff,Senator_2_class,Senate_aff
California,IOU,Edison International,Kevin Kiley (R),CA - 03,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,Liberty,Kevin Kiley (R),CA - 03,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,PG&E Corp,Kevin Kiley (R),CA - 03,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,PG&E Corp,Mike Thompson (D),CA - 04,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,Edison International,Tom McClintock (R),CA - 05,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,Liberty,Tom McClintock (R),CA - 05,515,29,Mike Parson (R),Republican,Josh Hawley (R),Republican,1,Eric Schmitt (R),Republican,3,2R
California,IOU,PG&E Corp,Tom McClintock (R),CA - 05,515,5,Sarah Huckabee-Sanders (R),Republican,Tom Cotton (R),Republican,2,John Boozman (R),Republican,3,2R
California,IOU,PG&E Corp,Doris Matsui (D),CA - 07,515,5,Sarah Huckabee-Sanders (R),Republican,Tom Cotton (R),Republican,2,John Boozman (R),Republican,3,2R
California,IOU,PG&E Corp,John Garamendi (D),CA - 08,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
California,IOU,PG&E Corp,Josh Harder (D),CA - 09,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
California,IOU,PG&E Corp,Mark DeSaulnier (D),CA - 10,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
California,IOU,PG&E Corp,Nancy Pelosi (D),CA - 11,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
California,IOU,PG&E Corp,Barbara Lee (D),CA - 12,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
California,IOU,PG&E Corp,John Duarte (R),CA - 13,515,21,Andy Beshear (D),Democratic,Mitch McConnell (R),Republican,2,Rand Paul (R),Republican,3,2R
California,IOU,PG&E Corp,Eric Swalwell (D),CA - 14,515,21,Andy Beshear (D),Democratic,Mitch McConnell (R),Republican,2,Rand Paul (R),Republican,3,2R
California,IOU,PG&E Corp,Kevin Mullin (D),CA - 15,515,22,John Bel Edwards (D),Democratic,Bill Cassidy (R),Republican,2,John Kennedy (R),Republican,3,2R
California,IOU,PG&E Corp,Anna Eshoo (D),CA - 16,515,22,John Bel Edwards (D),Democratic,Bill Cassidy (R),Republican,2,John Kennedy (R),Republican,3,2R
California,IOU,PG&E Corp,Ro Khanna (D),CA - 17,515,26,Gretchen Whitmer (D),Democratic,Debbie Stabenow (D),Democratic,1,Gary Peters (D),Democratic,2,2D
California,IOU,PG&E Corp,Zoe Lofgren (D),CA - 18,515,26,Gretchen Whitmer (D),Democratic,Debbie Stabenow (D),Democratic,1,Gary Peters (D),Democratic,2,2D
California,IOU,PG&E Corp,Jimmy Panetta (D),CA - 19,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Kevin McCarthy (R),CA - 20,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,PG&E Corp,Kevin McCarthy (R),CA - 20,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Jim Costa (D),CA - 21,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,PG&E Corp,Jim Costa (D),CA - 21,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,David Valadao (R),CA - 22,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,PG&E Corp,David Valadao (R),CA - 22,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Jay Olbernolte (R),CA - 23,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Salud Carbajal (D),CA - 24,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,PG&E Corp,Salud Carbajal (D),CA - 24,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Raul Ruiz (D),CA - 25,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Julia Brownley (D),CA - 26,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Mike Garcia (R),CA - 27,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Judy Chu (D),CA - 28,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Tony Cardenas (D),CA - 29,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Adam Schiff (D),CA - 30,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Grace Napolitano (D),CA - 31,515,39,Mike DeWine (R),Republican,Sherrod Brown (D),Democratic,1,J.D. Vance (R),Republican,3,1D1R
California,IOU,Edison International,Brad Sherman (D),CA - 32,515,40,Kevin Stitt (R),Republican,Markwayne Mullin (R),Republican,2,James Lankford (R),Republican,3,2R
California,IOU,Edison International,Pete Aguilar (D),CA - 33,515,40,Kevin Stitt (R),Republican,Markwayne Mullin (R),Republican,2,ames Lankford (R),Republican,3,2R
California,IOU,Edison International,Jimmy Gomez (D),CA - 34,515,40,Kevin Stitt (R),Republican,Markwayne Mullin (R),Republican,2,James Lankford (R),Republican,3,2R
California,IOU,Edison International,Norma Torres (D),CA - 35,515,40,Kevin Stitt (R),Republican,Markwayne Mullin (R),Republican,2,James Lankford (R),Republican,3,2R
California,IOU,Edison International,Ted Lieu (D),CA - 36,515,47,Bill Lee (R),Republican,Marsha Blackburn (R),Republican,1,Bill Hagerty (R),Republican,2,2R
California,IOU,Edison International,Sydney Kamlager (D),CA - 37,515,47,Bill Lee (R),Republican,Marsha Blackburn (R),Republican,1,Bill Hagerty (R),Republican,2,2R
California,IOU,Edison International,Linda Sanchez (D),CA - 38,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Mark Takano (D),CA - 39,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Young Kim (R),CA - 40,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Young Kim (R),CA - 40,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Ken Calverty (R),CA - 41,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Robert Garcia (D),CA - 42,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Maxine Waters (D),CA - 43,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Nanette Barragan (D),CA - 44,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Michelle Steel (R),CA - 45,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Lou Correa (D),CA - 46,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Katie Porter (D),CA - 47,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,Edison International,Darrell Issa (R),CA - 48,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Darrell Issa (R),CA - 48,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Mike Levin (D),CA - 49,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Scott Peters (D),CA - 50,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Sara Jacobs (D),CA - 51,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
California,IOU,San Diego Gas & Electric Co,Josh Vargas (D),CA - 52,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
Colorado,IOU,Xcel Energy Inc,Diana DeGette (D),CO - 1,515,51,Glenn Youngkin (R),Republican,Tim Kaine (D),Democratic,1,Mark Warner (D),Democratic,2,2D
Colorado,IOU,Xcel Energy Inc,Joe Neguse (D),CO - 2,515,51,Glenn Youngkin (R),Republican,Tim Kaine (D),Democratic,1,Mark Warner (D),Democratic,2,2D
Colorado,IOU,Black Hills Corp,Lauren Boebert (R),CO - 3,515,51,Glenn Youngkin (R),Republican,Tim Kaine (D),Democratic,1,Mark Warner (D),Democratic,2,2D
Colorado,IOU,Xcel Energy Inc,Lauren Boebert (R),CO - 3,515,54,Jim Justice (R),Republican,Joe Mancin (D),Democratic,1,Jim Justice (R),Republican,2,1D1R
Colorado,IOU,Black Hills Corp,Ken Buck (R),CO - 4,515,54,Jim Justice (R),Republican,Joe Mancin (D),Democratic,1,Jim Justice (R),Republican,2,1D1R
Colorado,IOU,Xcel Energy Inc,Ken Buck (R),CO - 4,515,54,Jim Justice (R),Republican,Joe Mancin (D),Democratic,1,Jim Justice (R),Republican,2,1D1R
Colorado,IOU,Black Hills Corp,Doug Lamborn (R),CO - 5,515,9,Ned Lamont (D),Democratic,Chris Murphy (D),Democratic,1,Richard Blumenthal (D),Democratic,3,2D
Colorado,IOU,Xcel Energy Inc,Jason Crow (D),CO - 6,515,9,Ned Lamont (D),Democratic,Chris Murphy (D),Democratic,1,Richard Blumenthal (D),Democratic,3,2D
Colorado,IOU,Black Hills Corp,Brittany Pettersen (D),CO - 7,515,23,Janet Mills (D),Democratic,Angus King (I),Independent,1,Susan Collins (R),Republican,2,1I1R
Colorado,IOU,Xcel Energy Inc,Brittany Pettersen (D),CO - 7,515,23,Janet Mills (D),Democratic,Angus King (I),Independent,1,Susan Collins (R),Republican,2,1I1R
Colorado,IOU,Xcel Energy Inc,Yadira Caraveo (D),CO - 8,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Eversource Energy,John Larson (D),CT - 1,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Eversource Energy,Joe Courtney (D),CT - 2,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Avangrid Inc,Rosa DeLauro (D),CT - 3,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Eversource Energy,Rosa DeLauro (D),CT - 3,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Avangrid Inc,Jim Himes (D),CT - 4,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Eversource Energy,Jim Himes (D),CT - 4,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Connecticut,IOU,Eversource Energy,Jahana Hayes (D),CT - 5,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Delaware,IOU,Exelon Corp,Lisa Blunt-Rochester (D),DE - at Large,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
District of Columbia,IOU,Exelon Corp,Elanor Holmes Norton (D),DC - at Large,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Matt Gaetz (R),FL - 01,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Neal Dunn (R),FL - 02,515,36,Kathy Hochul (D),Democratic,Kirsten Gillibrand (D),Democratic,1,Chuck Schumer (D),Democratic,3,2D
Florida,IOU,Florida Public Utilities Co,Neal Dunn (R),FL - 02,515,2,Mike Dunleavy (R),Republican,Dan Sullivan (R),Republican,2,Lisa Murkowski (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Neal Dunn (R),FL - 02,515,16,Brad Little (R),Republican,Jim Risch (R),Republican,2,Mike Crapo (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Kat Cammack (R),FL - 03,515,53,Jay Inslee (D),Democratic,Maria Cantwell (D),Democratic,1,Patty Murray (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Kat Cammack (R),FL - 03,515,53,Jay Inslee (D),Democratic,Maria Cantwell (D),Democratic,1,Patty Murray (D),Democratic,3,2D
Florida,IOU,Florida Public Utilities Co,Aaron Bean (R),FL - 04,515,6,Gavin Newsom (D),Democratic,Dianne Feinstein (D),Democratic,1,Alex Padilla (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Aaron Bean (R),FL - 04,515,6,Gavin Newsom (D),Democratic,Dianne Feinstein (D),Democratic,1,Alex Padilla (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,John Rutherford (R),FL - 05,515,16,Brad Little (R),Republican,Jim Risch (R),Republican,2,Mike Crapo (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Michael Waltz (R),FL - 06,515,17,J.B. Pritzker (D),Democratic,Dick Durbin (D),Democratic,2,Tammy Duckworth (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Michael Waltz (R),FL - 06,515,17,J.B. Pritzker (D),Democratic,Dick Durbin (D),Democratic,2,Tammy Duckworth (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Cory Mills (R),FL - 07,515,17,J.B. Pritzker (D),Democratic,Dick Durbin (D),Democratic,2,Tammy Duckworth (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Cory Mills (R),FL - 07,515,19,Kim Reynolds (R),Republican,Joni Ernst (R),Republican,2,Chuck Grassley (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Bill Posey (R),FL - 08,515,19,Kim Reynolds (R),Republican,Joni Ernst (R),Republican,2,Chuck Grassley (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Bill Posey (R),FL - 08,515,19,Kim Reynolds (R),Republican,Joni Ernst (R),Republican,2,Chuck Grassley (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Darren Soto (D),FL - 09,515,19,Kim Reynolds (R),Republican,Joni Ernst (R),Republican,2,Chuck Grassley (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Maxwell Frost (D),FL - 10,515,32,Joe Lombardo (R),Republican,Jacky Rosen (D),Democratic,1,Catherine Cortez Mastro (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Maxwell Frost (D),FL - 10,515,32,Joe Lombardo (R),Republican,Jacky Rosen (D),Democratic,1,Catherine Cortez Mastro (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Daniel Webster (R),FL - 11,515,32,Joe Lombardo (R),Republican,Jacky Rosen (D),Democratic,1,Catherine Cortez Mastro (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Daniel Webster (R),FL - 11,515,32,Joe Lombardo (R),Republican,Jacky Rosen (D),Democratic,1,Catherine Cortez Mastro (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Gus Bilirakis (R),FL - 12,515,32,Joe Lombardo (R),Republican,Jacky Rosen (D),Democratic,1,Catherine Cortez Mastro (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Gus Bilirakis (R),FL - 12,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Anna Paulina Luna (R),FL - 13,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Anna Paulina Luna (R),FL - 13,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Kathy Castor (D),FL - 14,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Kathy Castor (D),FL - 14,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,Duke Energy Corp,Laurel Lee (R),FL - 15,515,41,Tina Kotek (D),Democratic,Jeff Merkley (D),Democratic,2,Ron Wyden (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Laurel Lee (R),FL - 15,515,49,Spencer Cox (R),Republican,Mitt Romney (R),Republican,1,Mike Lee (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Vern Buchanan (R),FL - 16,515,49,Spencer Cox (R),Republican,Mitt Romney (R),Republican,1,Mike Lee (R),Republican,3,2R
Florida,IOU,TECO Energy Inc,Vern Buchanan (R),FL - 16,515,49,Spencer Cox (R),Republican,Mitt Romney (R),Republican,1,Mike Lee (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Greg Steube (R),FL - 17,515,49,Spencer Cox (R),Republican,Mitt Romney (R),Republican,1,Mike Lee (R),Republican,3,2R
Florida,IOU,Duke Energy Corp,Scott Franklin (R),FL - 18,515,53,Jay Inslee (D),Democratic,Maria Cantwell (D),Democratic,1,Patty Murray (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Scott Franklin (R),FL - 18,515,53,Jay Inslee (D),Democratic,Maria Cantwell (D),Democratic,1,Patty Murray (D),Democratic,3,2D
Florida,IOU,TECO Energy Inc,Scott Franklin (R),FL - 18,515,56,Mark Gordon (R),Republican,John Barrasso (R),Republican,1,Cynthia Lummis (R),Republican,2,2R
Florida,IOU,NextEra Energy Inc,Byron Donalds (R),FL - 19,515,8,Jared Polis (D),Democratic,John Hickenlooper (D),Democratic,2,Michael Bennet (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Jared Moskowitz (D),FL - 20,515,8,Jared Polis (D),Democratic,John Hickenlooper (D),Democratic,2,Michael Bennet (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Brian Mast (R),FL - 21,515,8,Jared Polis (D),Democratic,John Hickenlooper (D),Democratic,2,Michael Bennet (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Lois Frankel (D),FL - 22,515,8,Jared Polis (D),Democratic,John Hickenlooper (D),Democratic,2,Michael Bennet (D),Democratic,3,2D
Florida,IOU,NextEra Energy Inc,Jared Moskowitz (D),FL - 23,515,46,Kristi Noem (R),Republican,Mike Rounds (R),Republican,2,John Thune (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Frederica Wilson (D),FL - 24,515,56,Mark Gordon (R),Republican,John Barrasso (R),Republican,1,Cynthia Lummis (R),Republican,2,2R
Florida,IOU,NextEra Energy Inc,Debbie Wasserman Schultz (D),FL - 25,515,18,Eric Holcomb (R),Republican,Mike Braun (R),Republican,1,Todd Young (R),Republican,3,2R
Florida,IOU,NextEra Energy Inc,Mario Diaz-Balart (R),FL - 26,515,48,Greg Abbott (R),Republican,Ted Cruz (R),Republican,1,John Cornyn (R),Republican,2,2R
